nome_tse,nome_final,descricao
Cód. Eleição,codigo_eleicao,Código identificador da Eleição
Desc. Eleição,eleicao,Descrição ou nome da Eleição
Data e hora,,Data e hora de geração da informação
Sequencial Candidato,numero_sequencial,Sequencial do candidato na base de dados da Justiça Eleitoral
UF,sigla_unidade_federativa,Unidade da Federação do candidato
Numero UE,codigo_unidade_eleitoral,Código da Unidade Eleitoral
Municipio,unidade_eleitoral,
Sigla  Partido,sigla_partido,Sigla da legenda partidária do candidato registrado na Justiça Eleitoral
Numero candidato,numero_candidatura,Número do candidato registrado na Justiça Eleitoral
Cargo,cargo,Candidatura a qual concorre o candidato registrado na Justiça Eleitoral.
Nome candidato,nome,Nome do candidato registrado na Justiça Eleitoral
CPF do candidato,cpf,CPF do candidato registrado na Justiça Eleitoral
Numero Recibo Eleitoral,numero_recibo_eleitoral,Número do recibo eleitoral referente à doação recebida
Numero do documento,numero_documento,Número do documento referente à transação bancária ou comprovante da doação estimável
CPF/CNPJ do doador,cpf_cnpj_doador,CPF/CNPJ do doador declarado à Justiça Eleitoral
Nome do doador,doador,Nome do doador declarado à Justiça Eleitoral
Nome do doador (Receita Federal),doador_receita_federal,Nome do doador cadastrado na Receita Federal do Brasil
Sigla UE doador,sigla_unidade_eleitoral_doador,"Sigla da unidade da federação do doador, se candidato ou direção partidária"
Número partido doador,numero_partido_doador,"Número do partido do doador, se candidato ou direção partidária"
Número candidato doador,numero_candidatura_doadora,"Número do candidato, se doação de candidato a outro candidato e/ou direção partidária"
Cod setor econômico do doador,codigo_setor_economico_doador,"Código CNAE do doador, se pessoa jurídica"
Setor econômico do doador,setor_economico_doador,"Descrição do CNAE do doador, se pessoa jurídica"
Data da receita,data,Data da doação declarada à Justiça Eleitoral
Valor receita,valor,Valor da doação em Reais (R$)
Tipo receita,tipo,"Tipo da doação, podendo ser “Recursos Próprios”, “Recursos de Pessoas Físicas”, “Doações pela internet”, “Recursos de Outros Candidatos”, “Recursos de Partidos Políticos”, “Recursos de Origem Não Identificada”, “Comercialização de bens ou realização de eventos”, “Rendimentos de aplicações financeiras”"
Fonte recurso,fonte_recurso,"Fonte do recurso da doação, podendo ser “Fundo Partidário” ou “Outros Recursos”"
Especie recurso,tipo_recurso,"Espécie do recurso da doação, podendo assumir os valores “Cheque”, “Em Espécie”, “Transferência Eletrônica”, “Depósito em Espécie”, “Cartão de Crédito”, “Cartão de Débito”, “Boleto de Cobrança”, “Estimado” e “Outros Títulos de Crédito”."
Descricao da receita,descricao,Descrição da doação quando esta for estimável em dinheiro
